name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,65,0,0.0,8595.7,8324.1,13050.9,9401.4,10012.5,12334.4
UI_Browse_DX_Filter_Tissue,65,0,0.0,5515.7,7583.1,16251.5,9793.8,12587.4,16058.5
UI_Clear_Programs_Search,102,3,2.94,1970.4,1025.2,11000.3,4659.7,7177.8,9858.9
UI_Expand_Inventory_Disease_Biology,70,12,17.14,2431.9,1947.6,8072.1,4116.7,5272.9,7388.8
UI_Filter_CytoPedia_Entities_Category,43,1,2.33,6316.2,3360.4,26135.7,17128.9,19825.6,24289.1
UI_Filter_Programs_All_Projects,102,3,2.94,6757.9,817.0,519446.3,2936.2,5730.5,33126.4
UI_Filter_Programs_My_Projects,102,4,3.92,3090.5,1146.8,18341.0,7964.6,10450.4,16696.7
UI_Load_DX_Disease_Model_ASTH,65,7,10.77,497.4,215.6,2452.2,1494.4,1848.2,2217.4
UI_Login_Auth0,27,4,14.81,40869.1,39220.0,105897.0,69650.4,80738.6,100542.2
UI_Navigate_To_Inventory_Page,70,17,24.29,5180.2,3150.7,65643.0,8064.6,10009.3,37969.8
UI_Navigate_To_Inventory_Page_COPD,63,17,26.98,7372.4,2082.1,103912.3,14884.4,29739.4,72025.7
UI_Navigate_To_Inventory_Page_UC,58,8,13.79,9736.2,6074.5,44344.8,25499.8,29558.5,38588.8
UI_Open_CytoPedia_Cell_Entities,43,1,2.33,5029.9,2774.9,27262.6,12348.4,15040.3,26806.4
UI_Open_CytoPedia_Page,43,1,2.33,30031.4,27865.8,173963.0,56623.3,78781.5,137431.0
UI_Open_DX_Differential_Expression_Page,139,21,15.11,48342.8,37603.1,179217.7,80419.7,140309.7,151375.7
UI_Open_Inventory_Item_Cell_Abundance,70,12,17.14,4140.9,2324.4,23356.8,12361.7,13230.0,21803.8
UI_Open_Inventory_Item_Target_Cell_Association,70,12,17.14,4947.8,2640.3,30276.9,11091.5,14109.1,25781.7
UI_Open_Inventory_Item_Target_Expression,70,12,17.14,2323.9,1600.1,11054.1,5016.8,5950.9,10375.4
UI_Open_Inventory_Item_Target_Expression_COPD,62,17,27.42,9003.8,2543.0,84876.8,17691.1,19927.1,83735.0
UI_Open_Inventory_Item_Target_Expression_UC,58,8,13.79,5635.3,2991.6,42771.8,11685.7,13970.7,29496.4
UI_Open_Inventory_Item_Target_Pathway_Association,70,12,17.14,5368.0,3725.2,21560.9,14895.1,18216.6,21197.8
UI_Open_Inventory_Item_Target_Regulation,70,12,17.14,2987.5,1956.0,19062.2,5349.2,9950.6,18840.4
UI_Open_Programs_Page,104,6,5.77,26058.0,19256.2,154266.2,56423.4,79366.1,86005.5
UI_Search_CytoPedia_Terms,43,1,2.33,2408.6,1417.0,12451.4,5215.2,7011.6,10428.0
UI_Search_Programs_Query,102,3,2.94,1846.8,1006.9,16757.2,3884.9,5854.7,10235.4
UI_Select_DX_Target_Gene_Analysis,65,7,10.77,1308.6,901.7,6594.3,2686.8,5144.2,6471.5
UI_Select_DX_Target_Signature_Analysis,65,7,10.77,2006.9,1044.3,16759.7,4600.0,7632.1,15622.9
UI_Switch_DX_Disease_Model_COPD,63,17,26.98,8457.5,4019.7,56669.2,17798.9,41306.7,54400.2
UI_Switch_DX_Disease_Model_UC,60,36,60.0,36540.9,33208.9,100657.3,63546.1,66143.7,92778.6
__AGGREGATE__,2029,261,12.86,10105.4,2676.7,519446.3,29965.8,45966.7,87742.4
