name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,41,0,0.0,7628.5,8001.7,8007.7,8004.7,8004.8,8007.5
UI_Browse_DX_Filter_Tissue,41,0,0.0,4376.3,8000.9,8012.1,8002.0,8002.6,8008.3
UI_Clear_Programs_Search,69,0,0.0,314.9,312.7,381.2,321.8,324.9,343.8
UI_Expand_Inventory_Disease_Biology,43,0,0.0,435.6,433.5,499.0,440.1,450.5,485.1
UI_Filter_CytoPedia_Entities_Category,27,0,0.0,26.8,26.4,37.7,32.8,33.1,36.5
UI_Filter_Programs_All_Projects,69,0,0.0,25.3,24.8,37.2,32.0,33.1,37.1
UI_Filter_Programs_My_Projects,69,0,0.0,26.9,25.4,67.1,34.4,36.9,65.4
UI_Load_DX_Disease_Model_ASTH,42,0,0.0,6.5,4.4,62.5,7.5,14.5,49.6
UI_Login_Auth0,19,0,0.0,7852.8,7334.8,20216.3,13805.3,19453.3,20063.7
UI_Navigate_To_Inventory_Page,43,0,0.0,102.2,97.8,191.1,124.0,141.9,185.7
UI_Navigate_To_Inventory_Page_COPD,41,0,0.0,110.2,96.1,314.4,140.3,232.1,297.2
UI_Navigate_To_Inventory_Page_UC,35,0,0.0,98.9,93.7,266.2,107.9,114.5,218.3
UI_Open_CytoPedia_Cell_Entities,26,0,0.0,4725.6,4111.7,16427.7,10016.1,12044.5,15363.9
UI_Open_CytoPedia_Page,27,0,0.0,2876.0,2148.1,9203.0,5353.4,7071.5,8820.9
UI_Open_DX_Differential_Expression_Page,90,5,5.56,13405.1,12280.9,37956.7,25534.4,26322.1,30486.5
UI_Open_Inventory_Item_Cell_Abundance,43,0,0.0,104.8,99.5,193.1,123.9,130.2,186.1
UI_Open_Inventory_Item_Target_Cell_Association,43,0,0.0,122.2,105.1,638.5,141.6,148.1,449.4
UI_Open_Inventory_Item_Target_Expression,43,0,0.0,121.2,111.2,248.2,160.9,176.1,240.0
UI_Open_Inventory_Item_Target_Expression_COPD,39,0,0.0,556.6,552.7,654.4,587.8,596.7,633.9
UI_Open_Inventory_Item_Target_Expression_UC,35,0,0.0,550.5,543.7,609.2,583.8,594.6,604.7
UI_Open_Inventory_Item_Target_Pathway_Association,43,0,0.0,401.7,471.5,639.1,564.8,579.9,631.5
UI_Open_Inventory_Item_Target_Regulation,43,0,0.0,105.0,102.3,141.5,126.7,137.7,139.9
UI_Open_Programs_Page,69,0,0.0,3584.6,2114.8,19785.4,5763.7,14382.8,18746.0
UI_Search_CytoPedia_Terms,27,0,0.0,312.4,311.4,328.9,315.5,316.7,325.7
UI_Search_Programs_Query,69,0,0.0,312.3,311.4,323.2,317.4,319.5,322.2
UI_Select_DX_Target_Gene_Analysis,42,0,0.0,31.0,28.2,45.7,41.9,42.6,44.5
UI_Select_DX_Target_Signature_Analysis,42,0,0.0,38.6,32.9,154.2,41.8,43.6,148.9
UI_Switch_DX_Disease_Model_COPD,41,0,0.0,286.2,261.9,554.8,347.4,484.6,544.0
UI_Switch_DX_Disease_Model_UC,38,3,7.89,14546.9,12888.8,34548.4,25517.4,32135.4,34310.3
__AGGREGATE__,1299,8,0.62,2260.0,295.9,37956.7,8001.7,12820.5,25402.9
