name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,20,0,0.0,9290.6,8423.9,23899.4,9403.6,10268.3,21173.2
UI_Browse_DX_Filter_Tissue,20,0,0.0,7565.9,8490.4,14528.1,10778.1,11192.4,13861.0
UI_Clear_Programs_Search,16,0,0.0,1868.3,935.8,11436.8,3684.3,6009.9,10351.4
UI_Expand_Inventory_Disease_Biology,12,1,8.33,2337.4,1516.6,5007.5,4828.2,4917.9,4989.6
UI_Filter_CytoPedia_Entities_Category,13,0,0.0,5592.9,2148.1,29434.0,15024.0,22488.1,28044.8
UI_Filter_Programs_All_Projects,18,1,5.56,1687.6,993.8,6325.1,3941.4,4907.7,6041.7
UI_Filter_Programs_My_Projects,18,1,5.56,3339.0,1250.6,18139.3,10384.9,12937.5,17098.9
UI_Load_DX_Disease_Model_ASTH,20,0,0.0,491.9,434.4,1829.5,1076.1,1132.4,1690.1
UI_Login_Auth0,17,17,100.0,,,,,,
UI_Navigate_To_Inventory_Page,12,1,8.33,6027.2,4065.0,27055.1,5105.5,16080.3,24860.1
UI_Navigate_To_Inventory_Page_COPD,20,2,10.0,4680.2,4292.1,10325.2,7229.2,8104.2,9881.0
UI_Navigate_To_Inventory_Page_UC,19,2,10.53,7409.6,4682.9,21417.6,17800.6,18553.8,20844.8
UI_Open_CytoPedia_Cell_Entities,13,0,0.0,1237.0,857.8,4429.5,2768.1,3546.7,4252.9
UI_Open_CytoPedia_Page,13,0,0.0,55652.0,16521.5,161358.5,154396.8,157571.3,160601.1
UI_Open_DX_Differential_Expression_Page,35,3,8.57,32464.0,25217.5,108619.8,57132.0,93934.1,105968.0
UI_Open_Inventory_Item_Cell_Abundance,12,1,8.33,10829.9,9869.5,28876.4,22782.6,25829.5,28267.0
UI_Open_Inventory_Item_Target_Cell_Association,12,1,8.33,6244.0,3247.3,16160.1,11892.4,14026.3,15733.4
UI_Open_Inventory_Item_Target_Expression,12,1,8.33,4078.6,2392.4,21867.2,4117.8,12992.5,20092.3
UI_Open_Inventory_Item_Target_Expression_COPD,20,2,10.0,13015.3,12464.2,30724.7,22595.6,27676.5,30115.1
UI_Open_Inventory_Item_Target_Expression_UC,17,0,0.0,13879.6,10191.4,40672.2,31237.1,35636.3,39665.0
UI_Open_Inventory_Item_Target_Pathway_Association,12,1,8.33,6909.1,5552.2,27990.2,13026.9,20508.5,26493.8
UI_Open_Inventory_Item_Target_Regulation,12,1,8.33,7802.6,8353.0,16239.7,13528.3,14884.0,15968.6
UI_Open_Programs_Page,21,1,4.76,69278.7,21370.2,299725.5,160729.8,203911.4,280562.7
UI_Search_CytoPedia_Terms,13,0,0.0,2898.0,2175.2,9495.7,5109.1,6992.5,8995.1
UI_Search_Programs_Query,17,0,0.0,2322.4,1279.0,13222.2,5011.9,6920.6,11961.9
UI_Select_DX_Target_Gene_Analysis,20,2,10.0,1525.2,1218.5,5924.1,2195.9,3175.4,5374.4
UI_Select_DX_Target_Signature_Analysis,20,2,10.0,2351.0,1054.1,22458.0,2195.7,5784.1,19123.2
UI_Switch_DX_Disease_Model_COPD,20,2,10.0,6606.1,5948.6,13263.2,10894.3,12041.3,13018.8
UI_Switch_DX_Disease_Model_UC,19,3,15.79,34900.9,28172.3,82677.4,60636.9,80582.6,82258.4
__AGGREGATE__,493,45,9.13,12701.4,4292.1,299725.5,26282.0,40160.6,153519.9
