name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,65,0,0.0,8001.6,8001.4,8005.6,8003.0,8003.7,8005.5
UI_Browse_DX_Filter_Tissue,68,0,0.0,44.6,41.4,146.5,49.6,59.2,137.6
UI_Clear_Programs_Search,54,54,100.0,,,,,,
UI_Expand_Inventory_Disease_Biology,74,0,0.0,2473.1,1339.6,8261.0,5805.0,6767.6,7523.1
UI_Filter_CytoPedia_Entities_Category,39,0,0.0,29.0,26.1,75.1,37.9,44.5,65.0
UI_Filter_Programs_All_Projects,57,57,100.0,,,,,,
UI_Filter_Programs_My_Projects,57,57,100.0,,,,,,
UI_Load_DX_Disease_Model_ASTH,68,0,0.0,6456.2,5909.9,16701.4,13839.3,14378.6,16547.2
UI_Login_Auth0,38,0,0.0,8355.0,4045.9,110094.2,10362.9,12630.7,74033.8
UI_Navigate_To_Inventory_Page,74,0,0.0,512.4,456.2,1452.3,763.4,928.2,1448.5
UI_Open_CytoPedia_Cell_Entities,34,34,100.0,,,,,,
UI_Open_CytoPedia_Page,39,0,0.0,2691.2,1456.5,8463.6,6869.6,7286.8,8192.6
UI_Open_DX_Differential_Expression_Page,69,0,0.0,491.9,418.6,1832.2,747.0,823.7,1210.8
UI_Open_Inventory_Item_Cell_Abundance,74,0,0.0,105.1,90.6,626.4,107.3,112.2,525.6
UI_Open_Inventory_Item_Target_Cell_Association,74,0,0.0,203.0,93.4,931.9,825.9,855.6,907.0
UI_Open_Inventory_Item_Target_Expression,74,0,0.0,108.3,109.7,142.3,121.3,125.2,135.7
UI_Open_Inventory_Item_Target_Expression_COPD,65,0,0.0,2292.0,1458.4,8028.9,6393.1,7540.8,7978.5
UI_Open_Inventory_Item_Target_Expression_UC,64,0,0.0,2709.9,1449.2,8409.5,6912.1,7901.9,8144.2
UI_Open_Inventory_Item_Target_Pathway_Association,74,0,0.0,202.6,99.3,977.0,575.0,859.5,975.5
UI_Open_Inventory_Item_Target_Regulation,74,0,0.0,94.5,91.2,230.6,105.4,109.7,144.8
UI_Open_Programs_Page,58,58,100.0,,,,,,
UI_Search_CytoPedia_Terms,39,0,0.0,2011.3,2010.6,2018.4,2014.0,2015.1,2017.8
UI_Search_Programs_Query,54,54,100.0,,,,,,
UI_Select_DX_Target_Gene_Analysis,68,0,0.0,34.7,26.4,150.1,61.1,97.1,132.1
UI_Select_DX_Target_Signature_Analysis,68,0,0.0,38.1,30.8,150.4,40.8,87.2,149.0
UI_Switch_DX_Disease_Model_COPD,65,0,0.0,440.3,400.4,745.8,628.0,675.5,737.4
UI_Switch_DX_Disease_Model_UC,65,0,0.0,444.5,405.7,1000.1,594.1,655.7,974.1
__AGGREGATE__,1652,314,19.01,1611.9,364.1,110094.2,6375.2,8001.3,10962.4
