name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,79,0,0.0,8002.6,8001.8,8031.4,8004.7,8005.6,8015.4
UI_Browse_DX_Filter_Tissue,80,0,0.0,4130.5,7999.5,8008.0,8002.6,8003.1,8004.5
UI_Clear_Programs_Search,154,0,0.0,316.1,313.6,363.4,323.5,328.4,353.6
UI_Expand_Inventory_Disease_Biology,99,0,0.0,455.5,448.4,761.8,482.3,498.7,552.0
UI_Filter_CytoPedia_Entities_Category,74,0,0.0,39.4,37.9,80.9,59.1,64.2,71.4
UI_Filter_Programs_All_Projects,154,0,0.0,39.3,31.6,75.0,67.5,68.4,70.9
UI_Filter_Programs_My_Projects,154,0,0.0,31.9,27.3,117.9,52.2,61.7,81.3
UI_Load_DX_Disease_Model_ASTH,80,0,0.0,10.6,4.1,226.7,14.8,24.3,163.6
UI_Login_Auth0,25,0,0.0,14996.3,11222.3,45645.4,22490.5,26502.6,41233.9
UI_Navigate_To_Inventory_Page,99,6,6.06,110.5,102.2,360.1,146.8,169.2,258.5
UI_Navigate_To_Inventory_Page_COPD,77,6,7.79,112.4,95.8,499.1,149.6,207.8,301.1
UI_Navigate_To_Inventory_Page_UC,70,8,11.43,112.1,102.3,210.0,161.8,176.2,198.1
UI_Open_CytoPedia_Cell_Entities,74,0,0.0,44.3,33.4,622.6,50.6,54.7,254.5
UI_Open_CytoPedia_Page,74,0,0.0,15057.0,12077.8,52474.7,26219.3,34482.5,48018.6
UI_Open_DX_Differential_Expression_Page,179,12,6.7,25536.1,23678.7,58852.5,46972.7,53752.6,57781.2
UI_Open_Inventory_Item_Cell_Abundance,99,0,0.0,105.4,99.9,209.8,139.0,157.3,185.2
UI_Open_Inventory_Item_Target_Cell_Association,99,0,0.0,114.0,98.0,626.1,137.9,148.4,564.2
UI_Open_Inventory_Item_Target_Expression,99,0,0.0,268.5,298.4,657.3,400.1,453.7,558.7
UI_Open_Inventory_Item_Target_Expression_COPD,77,6,7.79,588.8,538.1,1358.4,759.7,852.0,1080.7
UI_Open_Inventory_Item_Target_Expression_UC,70,8,11.43,552.4,538.9,886.2,601.6,611.8,735.1
UI_Open_Inventory_Item_Target_Pathway_Association,99,0,0.0,428.0,520.6,732.0,636.8,691.3,731.3
UI_Open_Inventory_Item_Target_Regulation,99,0,0.0,97.0,96.2,198.4,118.5,128.7,148.8
UI_Open_Programs_Page,154,0,0.0,12191.4,9053.9,53393.2,22462.7,34654.2,47921.0
UI_Search_CytoPedia_Terms,74,0,0.0,317.1,312.8,391.7,326.6,336.4,363.2
UI_Search_Programs_Query,154,0,0.0,321.6,312.7,739.3,326.8,336.4,549.9
UI_Select_DX_Target_Gene_Analysis,80,0,0.0,51.5,52.8,121.0,81.1,92.0,119.9
UI_Select_DX_Target_Signature_Analysis,80,0,0.0,179.3,158.7,458.1,376.1,410.0,457.1
UI_Switch_DX_Disease_Model_COPD,78,7,8.97,4441.7,294.5,40652.3,15101.2,29458.3,36856.6
UI_Switch_DX_Disease_Model_UC,70,17,24.29,25761.1,27156.4,42862.9,37411.4,39007.7,41963.6
__AGGREGATE__,2804,70,2.5,3906.1,308.7,58852.5,13686.4,24874.7,43248.7
