name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,29,0,0.0,8001.9,8001.9,8003.7,8003.1,8003.5,8003.7
UI_Browse_DX_Filter_Tissue,30,0,0.0,48.9,40.5,137.5,72.6,90.5,125.1
UI_Clear_Programs_Search,22,22,100.0,,,,,,
UI_Expand_Inventory_Disease_Biology,39,0,0.0,1849.9,1335.2,6817.1,2742.1,5777.9,6426.9
UI_Filter_CytoPedia_Entities_Category,23,0,0.0,3815.8,1717.7,9302.7,8035.3,8890.8,9232.0
UI_Filter_Programs_All_Projects,29,29,100.0,,,,,,
UI_Filter_Programs_My_Projects,40,40,100.0,,,,,,
UI_Load_DX_Disease_Model_ASTH,30,0,0.0,6061.3,5788.3,14978.5,9361.1,13352.0,14855.0
UI_Login_Auth0,25,0,0.0,4643.8,3906.3,8503.4,6542.7,6921.1,8145.4
UI_Navigate_To_Inventory_Page,39,0,0.0,536.1,425.1,2216.9,718.2,1180.0,1860.2
UI_Open_CytoPedia_Cell_Entities,18,18,100.0,,,,,,
UI_Open_CytoPedia_Page,23,0,0.0,2378.1,1787.7,8053.3,3708.5,6930.6,7884.7
UI_Open_DX_Differential_Expression_Page,30,0,0.0,483.5,458.8,1428.7,615.0,782.5,1280.2
UI_Open_Inventory_Item_Cell_Abundance,39,0,0.0,89.0,88.9,102.9,94.0,98.4,102.8
UI_Open_Inventory_Item_Target_Cell_Association,39,0,0.0,110.1,87.6,522.7,97.2,148.9,519.1
UI_Open_Inventory_Item_Target_Expression,39,0,0.0,110.6,107.8,144.0,126.3,130.6,139.3
UI_Open_Inventory_Item_Target_Expression_COPD,29,0,0.0,1431.5,1410.6,1866.8,1488.5,1505.5,1768.6
UI_Open_Inventory_Item_Target_Expression_UC,29,0,0.0,1661.7,1436.2,5842.9,1572.2,2774.8,5156.3
UI_Open_Inventory_Item_Target_Pathway_Association,39,0,0.0,194.7,100.1,909.9,519.0,817.8,881.3
UI_Open_Inventory_Item_Target_Regulation,39,0,0.0,91.0,89.3,112.0,99.4,106.9,110.1
UI_Open_Programs_Page,41,0,0.0,436.1,395.2,807.2,652.5,674.5,761.4
UI_Search_CytoPedia_Terms,23,0,0.0,2018.1,2016.9,2028.1,2025.3,2027.6,2028.1
UI_Search_Programs_Query,27,27,100.0,,,,,,
UI_Select_DX_Target_Gene_Analysis,30,0,0.0,33.9,29.2,108.8,46.4,74.5,104.9
UI_Select_DX_Target_Signature_Analysis,30,0,0.0,45.2,33.0,141.1,85.5,112.8,136.7
UI_Switch_DX_Disease_Model_COPD,29,0,0.0,414.8,375.7,720.4,572.3,616.6,693.3
UI_Switch_DX_Disease_Model_UC,29,0,0.0,433.8,417.0,792.5,518.8,544.9,727.0
__AGGREGATE__,839,136,16.21,1402.1,393.4,14978.5,4518.3,8001.0,8356.8
