name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,28,0,0.0,8001.7,8001.5,8004.2,8003.0,8003.4,8004.1
UI_Browse_DX_Filter_Tissue,28,0,0.0,45.3,42.0,95.4,60.5,68.5,88.7
UI_Clear_Programs_Search,21,21,100.0,,,,,,
UI_Expand_Inventory_Disease_Biology,49,0,0.0,2785.9,1352.4,7752.8,6770.4,7074.0,7546.2
UI_Filter_CytoPedia_Entities_Category,24,0,0.0,3029.9,3030.1,3040.7,3035.3,3036.1,3039.7
UI_Filter_Programs_All_Projects,25,25,100.0,,,,,,
UI_Filter_Programs_My_Projects,27,27,100.0,,,,,,
UI_Load_DX_Disease_Model_ASTH,28,0,0.0,6908.9,6337.1,22896.7,12314.2,14114.6,20634.8
UI_Login_Auth0,25,0,0.0,5161.6,3897.3,10876.1,9207.5,10530.6,10797.8
UI_Navigate_To_Inventory_Page,49,0,0.0,512.2,479.8,1126.4,777.9,886.6,1083.8
UI_Open_CytoPedia_Cell_Entities,19,19,100.0,,,,,,
UI_Open_CytoPedia_Page,24,0,0.0,3249.1,1887.2,8537.6,7050.8,7269.3,8250.8
UI_Open_DX_Differential_Expression_Page,28,0,0.0,602.3,513.3,1631.0,934.0,1204.3,1546.2
UI_Open_Inventory_Item_Cell_Abundance,49,0,0.0,93.0,91.6,116.4,105.1,109.0,112.9
UI_Open_Inventory_Item_Target_Cell_Association,49,0,0.0,92.0,90.6,121.6,104.4,113.5,120.6
UI_Open_Inventory_Item_Target_Expression,49,0,0.0,111.0,108.5,158.2,127.8,136.2,155.9
UI_Open_Inventory_Item_Target_Expression_COPD,28,0,0.0,2477.6,1463.2,7508.4,6762.4,7360.5,7469.8
UI_Open_Inventory_Item_Target_Expression_UC,28,0,0.0,2551.9,1443.1,8375.1,6683.1,7702.8,8233.4
UI_Open_Inventory_Item_Target_Pathway_Association,49,0,0.0,172.6,99.5,973.2,204.0,871.4,943.0
UI_Open_Inventory_Item_Target_Regulation,49,0,0.0,92.5,90.9,123.7,102.0,105.8,117.9
UI_Open_Programs_Page,30,30,100.0,,,,,,
UI_Search_CytoPedia_Terms,24,0,0.0,2015.3,2013.9,2026.6,2024.2,2025.7,2026.5
UI_Search_Programs_Query,24,24,100.0,,,,,,
UI_Select_DX_Target_Gene_Analysis,28,0,0.0,33.5,27.8,103.8,47.9,58.4,92.3
UI_Select_DX_Target_Signature_Analysis,28,0,0.0,40.8,30.1,167.8,56.8,107.3,158.3
UI_Switch_DX_Disease_Model_COPD,28,0,0.0,505.5,454.6,1408.0,720.5,806.4,1254.2
UI_Switch_DX_Disease_Model_UC,28,0,0.0,510.9,443.6,1033.6,855.0,884.6,995.5
__AGGREGATE__,866,146,16.86,1561.4,378.9,22896.7,6127.2,8001.1,10350.1
