name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,116,0,0.0,7717.7,8002.3,8414.8,8007.1,8008.7,8132.3
UI_Browse_DX_Filter_Tissue,116,0,0.0,5589.3,8001.2,8013.6,8004.7,8006.6,8010.5
UI_Clear_Programs_Search,164,0,0.0,318.7,314.3,507.2,324.9,341.2,419.3
UI_Expand_Inventory_Disease_Biology,113,0,0.0,454.4,440.6,1050.7,482.8,514.1,577.6
UI_Filter_CytoPedia_Entities_Category,73,0,0.0,50.0,28.1,751.2,49.4,64.2,516.0
UI_Filter_Programs_All_Projects,167,3,1.8,36.6,25.9,598.8,41.8,65.1,240.3
UI_Filter_Programs_My_Projects,168,4,2.38,40.7,27.3,1036.9,49.3,79.6,170.9
UI_Load_DX_Disease_Model_ASTH,121,20,16.53,20.5,8.7,586.6,31.5,64.3,155.9
UI_Login_Auth0,25,0,0.0,7273.6,6537.6,25057.5,10378.7,12761.4,22224.9
UI_Navigate_To_Inventory_Page,117,11,9.4,148.9,116.5,516.9,245.7,359.1,488.2
UI_Navigate_To_Inventory_Page_COPD,116,15,12.93,135.6,119.8,853.9,167.8,206.0,587.6
UI_Navigate_To_Inventory_Page_UC,113,11,9.73,128.3,114.6,343.5,175.6,247.5,281.3
UI_Open_CytoPedia_Cell_Entities,73,4,5.48,7223.6,4100.3,30008.7,16961.3,25464.3,28907.2
UI_Open_CytoPedia_Page,73,0,0.0,4125.7,2646.3,17668.6,8106.2,13630.2,17505.6
UI_Open_DX_Differential_Expression_Page,240,33,13.75,14368.5,11629.6,59741.0,27291.4,36915.0,47767.5
UI_Open_Inventory_Item_Cell_Abundance,113,0,0.0,149.0,125.1,433.9,215.5,292.4,410.4
UI_Open_Inventory_Item_Target_Cell_Association,113,0,0.0,256.8,141.0,1189.0,748.8,843.9,895.5
UI_Open_Inventory_Item_Target_Expression,113,1,0.88,140.5,124.4,467.7,190.9,232.1,462.5
UI_Open_Inventory_Item_Target_Expression_COPD,116,15,12.93,605.4,574.1,1499.3,642.0,700.7,1204.1
UI_Open_Inventory_Item_Target_Expression_UC,108,1,0.93,600.7,573.6,1213.5,675.7,750.3,1050.8
UI_Open_Inventory_Item_Target_Pathway_Association,113,0,0.0,458.8,494.4,1767.4,802.9,955.3,1360.6
UI_Open_Inventory_Item_Target_Regulation,113,0,0.0,140.3,127.2,330.9,205.9,233.3,306.2
UI_Open_Programs_Page,168,4,2.38,2873.3,1919.3,11631.6,5402.0,7698.8,8792.3
UI_Search_CytoPedia_Terms,73,0,0.0,329.2,315.7,700.7,338.1,365.8,606.1
UI_Search_Programs_Query,167,3,1.8,323.2,313.4,692.9,331.5,366.5,528.8
UI_Select_DX_Target_Gene_Analysis,117,1,0.85,47.0,35.4,267.6,83.8,107.4,188.9
UI_Select_DX_Target_Signature_Analysis,116,0,0.0,50.4,37.8,374.9,82.4,103.0,162.7
UI_Switch_DX_Disease_Model_COPD,116,15,12.93,339.9,278.2,1313.9,329.2,1222.1,1234.3
UI_Switch_DX_Disease_Model_UC,116,14,12.07,14333.1,10937.7,50838.1,26807.6,35567.9,43615.9
__AGGREGATE__,3457,155,4.48,2415.0,309.9,59741.0,8003.2,12392.6,27390.9
