name,total_requests,total_failures,failure_rate_pct,avg_ms,median_ms,max_ms,p90_ms,p95_ms,p99_ms
UI_Browse_DX_Filter_Comparison,22,22,100.0,,,,,,
UI_Browse_DX_Filter_Tissue,26,0,0.0,40.9,40.8,48.3,44.5,46.2,47.8
UI_Clear_Programs_Search,37,0,0.0,313.2,311.6,329.6,321.5,325.3,328.5
UI_Expand_Inventory_Disease_Biology,24,0,0.0,428.4,427.6,442.1,432.3,436.2,440.9
UI_Filter_CytoPedia_Entities_Category,18,0,0.0,32.5,29.7,67.5,45.2,51.0,64.2
UI_Filter_Programs_All_Projects,37,0,0.0,48.5,25.7,816.6,33.2,37.6,536.6
UI_Filter_Programs_My_Projects,37,0,0.0,22.6,18.9,73.7,37.8,54.9,68.0
UI_Load_DX_Disease_Model_ASTH,26,0,0.0,7.4,3.2,99.6,5.7,8.2,76.9
UI_Login_Auth0,21,0,0.0,10123.0,8611.8,20887.0,14644.5,18889.5,20487.5
UI_Navigate_To_Inventory_Page,24,0,0.0,83.6,83.4,126.6,91.0,96.6,119.9
UI_Navigate_To_Inventory_Page_COPD,20,20,100.0,,,,,,
UI_Navigate_To_Inventory_Page_UC,11,11,100.0,,,,,,
UI_Open_CytoPedia_Cell_Entities,18,0,0.0,25.0,23.7,40.9,31.7,35.1,39.8
UI_Open_CytoPedia_Page,18,0,0.0,6098.4,6026.6,13056.5,9443.4,10592.9,12563.8
UI_Open_DX_Differential_Expression_Page,50,0,0.0,14128.4,13113.8,24139.0,20622.7,21216.0,23653.3
UI_Open_Inventory_Item_Cell_Abundance,22,0,0.0,79.0,71.4,141.7,104.3,117.0,136.6
UI_Open_Inventory_Item_Target_Cell_Association,22,0,0.0,71.7,70.9,85.6,80.0,82.8,85.0
UI_Open_Inventory_Item_Target_Expression,23,0,0.0,286.9,299.9,378.9,344.9,376.0,378.8
UI_Open_Inventory_Item_Target_Expression_COPD,17,17,100.0,,,,,,
UI_Open_Inventory_Item_Target_Expression_UC,10,9,90.0,479.0,479.0,479.0,479.0,479.0,479.0
UI_Open_Inventory_Item_Target_Pathway_Association,22,0,0.0,78.1,74.1,109.6,103.9,108.9,109.5
UI_Open_Inventory_Item_Target_Regulation,22,0,0.0,69.1,66.3,82.7,79.3,82.3,82.6
UI_Open_Programs_Page,37,0,0.0,5881.7,5224.1,13572.4,10274.7,11162.8,13256.1
UI_Search_CytoPedia_Terms,18,0,0.0,310.9,310.2,318.3,315.0,315.6,317.7
UI_Search_Programs_Query,37,0,0.0,312.6,311.2,329.5,316.9,318.2,326.7
UI_Select_DX_Target_Gene_Analysis,26,0,0.0,31.5,30.2,63.8,46.7,52.5,61.3
UI_Select_DX_Target_Signature_Analysis,26,0,0.0,111.6,65.7,302.0,243.2,260.1,292.6
UI_Switch_DX_Disease_Model_COPD,20,20,100.0,,,,,,
UI_Switch_DX_Disease_Model_UC,16,16,100.0,,,,,,
__AGGREGATE__,707,115,16.27,2212.3,83.4,24139.0,10150.7,13113.6,20620.0
